T,power,danger,structure,coverage
43600,0.00230,-0.10829,0.00144,0.281
43700,0.00228,-0.10968,0.00114,0.281
43800,0.00262,-0.11028,0.00116,0.281
43900,0.00331,-0.11130,0.00144,0.281
44000,0.00387,-0.11142,0.00155,0.281
44100,0.00412,-0.11070,0.00136,0.281
44200,0.00388,-0.11083,0.00119,0.283
44300,0.00259,-0.10980,0.00092,0.283
44400,0.00237,-0.11104,0.00095,0.283
44500,0.00277,-0.11022,0.00088,0.281
44600,0.00275,-0.10937,0.00071,0.280
44700,0.00289,-0.10857,0.00065,0.280
44800,0.00250,-0.10811,0.00009,0.281
44900,0.00218,-0.10794,-0.00004,0.281
45000,0.00108,-0.10767,-0.00004,0.281
45100,0.00058,-0.10602,0.00047,0.281
45200,-0.00104,-0.10481,0.00008,0.281
45300,-0.00273,-0.10352,-0.00023,0.281
45400,-0.00256,-0.10328,-0.00042,0.282
45500,-0.00359,-0.10346,-0.00058,0.283
45600,-0.00362,-0.10377,-0.00045,0.284
45700,-0.00324,-0.10257,-0.00044,0.285
45800,-0.00382,-0.10176,-0.00004,0.285
45900,-0.00360,-0.10239,-0.00015,0.286
46000,-0.00344,-0.10241,-0.00017,0.288
46100,-0.00258,-0.10461,0.00012,0.289
46200,-0.00217,-0.10444,0.00013,0.288
46300,-0.00183,-0.10483,0.00018,0.289
46400,-0.00160,-0.10525,-0.00006,0.289
46500,-0.00051,-0.10565,-0.00019,0.289
46600,-0.00017,-0.10679,-0.00059,0.289
46700,0.00021,-0.10639,-0.00026,0.289
46800,0.00003,-0.10528,-0.00084,0.289
46900,-0.00028,-0.10410,-0.00105,0.288
47000,0.00014,-0.10377,-0.00115,0.288
47100,0.00140,-0.10457,-0.00090,0.289
47200,0.00184,-0.10510,-0.00092,0.288
47300,0.00342,-0.10622,-0.00098,0.287
47400,0.00508,-0.10568,-0.00120,0.288
47500,0.00574,-0.10744,-0.00083,0.288
47600,0.00648,-0.10711,-0.00079,0.288
47700,0.00727,-0.10703,-0.00026,0.288
47800,0.00778,-0.10725,0.00044,0.287
47900,0.00923,-0.10842,0.00057,0.287
48000,0.01124,-0.10941,0.00066,0.287
48100,0.01247,-0.11020,0.00064,0.288
48200,0.01347,-0.11086,0.00057,0.288
48300,0.01427,-0.11144,0.00044,0.288
48400,0.01377,-0.11089,0.00092,0.288
48500,0.01379,-0.11035,0.00094,0.287
48600,0.01345,-0.10908,0.00092,0.286
48700,0.01242,-0.10693,0.00087,0.285
48800,0.01285,-0.10680,0.00104,0.285
48900,0.01465,-0.10776,0.00139,0.286
49000,0.01552,-0.10802,0.00128,0.285
49100,0.01496,-0.10721,0.00108,0.286
49200,0.01570,-0.10744,0.00102,0.286
49300,0.01640,-0.10824,0.00042,0.286
49400,0.01697,-0.10818,0.00019,0.286
49500,0.01764,-0.10793,-0.00014,0.285
49600,0.01765,-0.10784,-0.00043,0.285
49700,0.01784,-0.10660,-0.00055,0.286
49800,0.01801,-0.10551,-0.00040,0.284
49900,0.01837,-0.10468,-0.00056,0.284
50000,0.01849,-0.10378,-0.00052,0.284
50100,0.01800,-0.10299,-0.00073,0.284
50200,0.01734,-0.10233,-0.00053,0.284
50300,0.01641,-0.10245,-0.00070,0.285
50400,0.01621,-0.10166,-0.00054,0.285
50500,0.01767,-0.10119,-0.00069,0.285
50600,0.01760,-0.10042,-0.00095,0.284
50700,0.01737,-0.09961,-0.00094,0.283
50800,0.01681,-0.10040,-0.00100,0.283
50900,0.01553,-0.09932,-0.00154,0.282
51000,0.01541,-0.10047,-0.00126,0.283
51100,0.01577,-0.10126,-0.00135,0.283
51200,0.01543,-0.10154,-0.00146,0.284
51300,0.01534,-0.10249,-0.00150,0.285
51400,0.01579,-0.10301,-0.00224,0.286
51500,0.01495,-0.10311,-0.00250,0.286
51600,0.01529,-0.10346,-0.00214,0.287
51700,0.01472,-0.10248,-0.00223,0.288
