T,power,danger,structure,coverage
55000,-0.00109,-0.11386,0.00730,0.308
55100,-0.00151,-0.11327,0.00710,0.307
55200,-0.00143,-0.11438,0.00710,0.306
55300,-0.00283,-0.11353,0.00706,0.306
55400,-0.00450,-0.11179,0.00681,0.306
55500,-0.00568,-0.11011,0.00665,0.306
55600,-0.00634,-0.10934,0.00649,0.306
55700,-0.00761,-0.10820,0.00651,0.307
55800,-0.00799,-0.10728,0.00595,0.305
55900,-0.00881,-0.10777,0.00596,0.305
56000,-0.00941,-0.10841,0.00606,0.305
56100,-0.00935,-0.10905,0.00618,0.305
56200,-0.00934,-0.10775,0.00622,0.305
56300,-0.01058,-0.10730,0.00614,0.304
56400,-0.01057,-0.10735,0.00655,0.304
56500,-0.01129,-0.10743,0.00591,0.303
56600,-0.01311,-0.10750,0.00621,0.302
56700,-0.01376,-0.10899,0.00613,0.302
56800,-0.01557,-0.10845,0.00612,0.303
56900,-0.01506,-0.10778,0.00683,0.302
57000,-0.01585,-0.10769,0.00708,0.302
57100,-0.01665,-0.10673,0.00691,0.302
57200,-0.01792,-0.10730,0.00693,0.301
57300,-0.01763,-0.10708,0.00639,0.300
57400,-0.01728,-0.10671,0.00577,0.300
57500,-0.01851,-0.10603,0.00572,0.298
57600,-0.01818,-0.10568,0.00580,0.298
57700,-0.01705,-0.10629,0.00611,0.298
57800,-0.01621,-0.10562,0.00598,0.297
57900,-0.01538,-0.10455,0.00602,0.298
58000,-0.01560,-0.10488,0.00646,0.298
58100,-0.01639,-0.10586,0.00636,0.298
58200,-0.01671,-0.10474,0.00611,0.297
58300,-0.01566,-0.10435,0.00606,0.298
58400,-0.01603,-0.10379,0.00630,0.297
58500,-0.01637,-0.10422,0.00603,0.297
58600,-0.01765,-0.10363,0.00591,0.296
58700,-0.01810,-0.10327,0.00578,0.297
58800,-0.01898,-0.10258,0.00561,0.295
58900,-0.01836,-0.10074,0.00574,0.295
59000,-0.01809,-0.10041,0.00561,0.294
59100,-0.01673,-0.10010,0.00538,0.294
59200,-0.01712,-0.10009,0.00515,0.294
59300,-0.01772,-0.10205,0.00458,0.293
59400,-0.01922,-0.10205,0.00442,0.292
59500,-0.01917,-0.10300,0.00444,0.292
59600,-0.01907,-0.10362,0.00436,0.291
59700,-0.01887,-0.10376,0.00426,0.291
59800,-0.01913,-0.10398,0.00440,0.291
59900,-0.01752,-0.10527,0.00410,0.291
60000,-0.01733,-0.10571,0.00407,0.291
60100,-0.01692,-0.10562,0.00436,0.291
60200,-0.01720,-0.10532,0.00391,0.292
60300,-0.01580,-0.10584,0.00354,0.291
60400,-0.01609,-0.10541,0.00283,0.291
60500,-0.01606,-0.10593,0.00175,0.291
60600,-0.01600,-0.10472,0.00139,0.290
60700,-0.01568,-0.10412,0.00110,0.290
60800,-0.01561,-0.10301,0.00096,0.289
60900,-0.01591,-0.10089,0.00032,0.288
61000,-0.01668,-0.09953,-0.00042,0.287
61100,-0.01689,-0.09984,-0.00095,0.286
61200,-0.01636,-0.09863,-0.00166,0.286
61300,-0.01621,-0.09744,-0.00175,0.287
61400,-0.01685,-0.09659,-0.00204,0.287
61500,-0.01550,-0.09598,-0.00170,0.286
61600,-0.01368,-0.09639,-0.00115,0.286
61700,-0.01319,-0.09683,-0.00079,0.286
61800,-0.01209,-0.09747,-0.00056,0.286
61900,-0.01257,-0.09746,-0.00072,0.287
62000,-0.01354,-0.09835,-0.00063,0.288
62100,-0.01475,-0.09836,-0.00033,0.287
62200,-0.01547,-0.09885,-0.00024,0.285
62300,-0.01595,-0.09867,-0.00043,0.285
62400,-0.01764,-0.09949,-0.00043,0.285
62500,-0.01857,-0.09811,-0.00054,0.284
62600,-0.01977,-0.09749,-0.00074,0.285
62700,-0.01928,-0.09863,-0.00098,0.286
62800,-0.02007,-0.09962,-0.00059,0.287
62900,-0.01984,-0.09998,-0.00020,0.287
63000,-0.01963,-0.09969,-0.00013,0.287
